run,candidate,status,label,eval_label,horizon_years,feature_set,param_set,set_params,seed,grid_params,sampled_params,config_hash,n_test,effective_n,base_rate,pr_auc,roc_auc,brier,base_rate_brier,precision_at_20,conf_at_20,recall_at_20
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set4__s1776,xgb_search_cells_features_params__label_3y_beat_spy__fs0__set4,completed,label_3y_beat_spy,,3,0,4,"{""class_weight"": 0.1, ""colsample_bytree"": 0.607408, ""gamma"": 0.342094, ""learning_rate"": 0.0165055, ""max_depth"": 5, ""min_child_weight"": 7.1194, ""n_estimators"": 517, ""reg_alpha"": 5.39125, ""reg_lambda"": 0.0251088, ""subsample"": 0.631728}",1776,{},{},1eff1f041aac0043,256351,8215.438550146824,0.3535010191664152,0.45838994865468385,0.6194837377305384,0.2862977557087967,0.22853804861472096,0.546875,0.30216496186330916,0.0018805071996561358
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set0__s1776,xgb_search_cells_features_params__label_3y_beat_spy__fs0__set0,completed,label_3y_beat_spy,,3,0,0,"{""class_weight"": 0.5, ""colsample_bytree"": 0.407286, ""gamma"": 0.000106243, ""learning_rate"": 0.0118662, ""max_depth"": 8, ""min_child_weight"": 89.3656, ""n_estimators"": 556, ""reg_alpha"": 0.436331, ""reg_lambda"": 21.3796, ""subsample"": 0.6872}",1776,{},{},d3a3ebc2a7f51e30,256351,8215.438550146824,0.3535010191664152,0.46013041239665925,0.6251518631892671,0.22169724238623975,0.22853804861472096,0.546875,0.6521339185535908,0.0018805071996561358
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set4__s32,xgb_search_cells_features_params__label_3y_beat_spy__fs0__set4,completed,label_3y_beat_spy,,3,0,4,"{""class_weight"": 0.1, ""colsample_bytree"": 0.607408, ""gamma"": 0.342094, ""learning_rate"": 0.0165055, ""max_depth"": 5, ""min_child_weight"": 7.1194, ""n_estimators"": 517, ""reg_alpha"": 5.39125, ""reg_lambda"": 0.0251088, ""subsample"": 0.631728}",32,{},{},0cd970a7bc35d857,256351,8215.438550146824,0.3535010191664152,0.4585016790933708,0.6198113174148048,0.2861842877634661,0.22853804861472096,0.546875,0.30115063712000845,0.0018805071996561358
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set2__s32,xgb_search_cells_features_params__label_2y_beat_spy__fs0__set2,completed,label_2y_beat_spy,,2,0,2,"{""class_weight"": 0.1, ""colsample_bytree"": 0.638389, ""gamma"": 0.00994761, ""learning_rate"": 0.0113265, ""max_depth"": 6, ""min_child_weight"": 59.9175, ""n_estimators"": 195, ""reg_alpha"": 0.000140183, ""reg_lambda"": 0.418799, ""subsample"": 0.887142}",32,{},{},3ec61b87d1fd56de,292576,13435.081087150693,0.38335620724370656,0.46264385735682434,0.5920233011235162,0.3131348157472332,0.23639422561142684,0.5444444444444444,0.22182280268106197,0.0017132118351470653
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set3__s23,xgb_search_cells_features_params__label_3y_beat_spy__fs0__set3,completed,label_3y_beat_spy,,3,0,3,"{""class_weight"": 0.1, ""colsample_bytree"": 0.765949, ""gamma"": 0.000139965, ""learning_rate"": 0.0114436, ""max_depth"": 8, ""min_child_weight"": 7.50202, ""n_estimators"": 1069, ""reg_alpha"": 3.75825, ""reg_lambda"": 0.186001, ""subsample"": 0.954949}",23,{},{},a549b76a07c66d47,256351,8215.438550146824,0.3535010191664152,0.46086560274962163,0.626025184499315,0.2857575319178204,0.22853804861472096,0.54375,0.3674884831532836,0.0018697614442295294
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set0__s23,xgb_search_cells_features_params__label_2y_beat_spy__fs0__set0,completed,label_2y_beat_spy,,2,0,0,"{""class_weight"": 0.5, ""colsample_bytree"": 0.407286, ""gamma"": 0.000106243, ""learning_rate"": 0.0118662, ""max_depth"": 8, ""min_child_weight"": 89.3656, ""n_estimators"": 556, ""reg_alpha"": 0.436331, ""reg_lambda"": 21.3796, ""subsample"": 0.6872}",23,{},{},67e3563b6387c3ca,292576,13435.081087150693,0.38335620724370656,0.46284431294993233,0.5965299928989019,0.2386171916115029,0.23639422561142684,0.5416666666666666,0.617617821196715,0.0017044709584371313
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set1__s23,xgb_search_cells_features_params__label_3y_beat_spy__fs0__set1,completed,label_3y_beat_spy,,3,0,1,"{""class_weight"": 0.5, ""colsample_bytree"": 0.825382, ""gamma"": 4.79144, ""learning_rate"": 0.126577, ""max_depth"": 6, ""min_child_weight"": 5.09555, ""n_estimators"": 274, ""reg_alpha"": 4.30687, ""reg_lambda"": 0.235585, ""subsample"": 0.920096}",23,{},{},328dc0681ebbfed1,256351,8215.438550146824,0.3535010191664152,0.457893681966574,0.6222098879154236,0.22186528186742904,0.22853804861472096,0.540625,0.655326622352004,0.0018590156888029228
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set3__s32,xgb_search_cells_features_params__label_3y_beat_spy__fs0__set3,completed,label_3y_beat_spy,,3,0,3,"{""class_weight"": 0.1, ""colsample_bytree"": 0.765949, ""gamma"": 0.000139965, ""learning_rate"": 0.0114436, ""max_depth"": 8, ""min_child_weight"": 7.50202, ""n_estimators"": 1069, ""reg_alpha"": 3.75825, ""reg_lambda"": 0.186001, ""subsample"": 0.954949}",32,{},{},0af8de463bcd81af,256351,8215.438550146824,0.3535010191664152,0.4609284586877841,0.6258874120171853,0.2856961765623892,0.22853804861472096,0.540625,0.3686278949957341,0.0018590156888029228
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set4__s23,xgb_search_cells_features_params__label_3y_beat_spy__fs0__set4,completed,label_3y_beat_spy,,3,0,4,"{""class_weight"": 0.1, ""colsample_bytree"": 0.607408, ""gamma"": 0.342094, ""learning_rate"": 0.0165055, ""max_depth"": 5, ""min_child_weight"": 7.1194, ""n_estimators"": 517, ""reg_alpha"": 5.39125, ""reg_lambda"": 0.0251088, ""subsample"": 0.631728}",23,{},{},7c8302d7e235d81c,256351,8215.438550146824,0.3535010191664152,0.4581571319829162,0.6196450987587256,0.28634343247768346,0.22853804861472096,0.525,0.30105792242102325,0.0018052869116698903
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set0__s32,xgb_search_cells_features_params__label_2y_beat_spy__fs0__set0,completed,label_2y_beat_spy,,2,0,0,"{""class_weight"": 0.5, ""colsample_bytree"": 0.407286, ""gamma"": 0.000106243, ""learning_rate"": 0.0118662, ""max_depth"": 8, ""min_child_weight"": 89.3656, ""n_estimators"": 556, ""reg_alpha"": 0.436331, ""reg_lambda"": 21.3796, ""subsample"": 0.6872}",32,{},{},89f8c0783a46836f,292576,13435.081087150693,0.38335620724370656,0.4632157598607243,0.5971412326606914,0.23845042252140883,0.23639422561142684,0.5166666666666667,0.6164088101022773,0.001625803068047725
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set4__s1776,xgb_search_cells_features_params__label_2y_beat_spy__fs0__set4,completed,label_2y_beat_spy,,2,0,4,"{""class_weight"": 0.1, ""colsample_bytree"": 0.607408, ""gamma"": 0.342094, ""learning_rate"": 0.0165055, ""max_depth"": 5, ""min_child_weight"": 7.1194, ""n_estimators"": 517, ""reg_alpha"": 5.39125, ""reg_lambda"": 0.0251088, ""subsample"": 0.631728}",1776,{},{},eae3284e743a04ab,292576,13435.081087150693,0.38335620724370656,0.4595959716183114,0.5911315456734904,0.3186661973407448,0.23639422561142684,0.5166666666666667,0.26803132759200204,0.001625803068047725
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set1__s1776,xgb_search_cells_features_params__label_2y_beat_spy__fs0__set1,completed,label_2y_beat_spy,,2,0,1,"{""class_weight"": 0.5, ""colsample_bytree"": 0.825382, ""gamma"": 4.79144, ""learning_rate"": 0.126577, ""max_depth"": 6, ""min_child_weight"": 5.09555, ""n_estimators"": 274, ""reg_alpha"": 4.30687, ""reg_lambda"": 0.235585, ""subsample"": 0.920096}",1776,{},{},166a02ddfba86287,292576,13435.081087150693,0.38335620724370656,0.4610671352903354,0.5944970054951904,0.2385034837702233,0.23639422561142684,0.5138888888888888,0.6169804900884628,0.0016170621913377912
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set0__s1776,xgb_search_cells_features_params__label_2y_beat_spy__fs0__set0,completed,label_2y_beat_spy,,2,0,0,"{""class_weight"": 0.5, ""colsample_bytree"": 0.407286, ""gamma"": 0.000106243, ""learning_rate"": 0.0118662, ""max_depth"": 8, ""min_child_weight"": 89.3656, ""n_estimators"": 556, ""reg_alpha"": 0.436331, ""reg_lambda"": 21.3796, ""subsample"": 0.6872}",1776,{},{},025e5ed88d1fbc7b,292576,13435.081087150693,0.38335620724370656,0.4633151859444358,0.5974420330307627,0.23839130532498237,0.23639422561142684,0.5111111111111111,0.6151124262975322,0.0016083213146278572
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set3__s32,xgb_search_cells_features_params__label_2y_beat_spy__fs0__set3,completed,label_2y_beat_spy,,2,0,3,"{""class_weight"": 0.1, ""colsample_bytree"": 0.765949, ""gamma"": 0.000139965, ""learning_rate"": 0.0114436, ""max_depth"": 8, ""min_child_weight"": 7.50202, ""n_estimators"": 1069, ""reg_alpha"": 3.75825, ""reg_lambda"": 0.186001, ""subsample"": 0.954949}",32,{},{},3e0736738bc12deb,292576,13435.081087150693,0.38335620724370656,0.46378905677163884,0.5995369658620013,0.3177414894101168,0.23639422561142684,0.5083333333333333,0.3173926562484768,0.0015995804379179232
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set3__s23,xgb_search_cells_features_params__label_2y_beat_spy__fs0__set3,completed,label_2y_beat_spy,,2,0,3,"{""class_weight"": 0.1, ""colsample_bytree"": 0.765949, ""gamma"": 0.000139965, ""learning_rate"": 0.0114436, ""max_depth"": 8, ""min_child_weight"": 7.50202, ""n_estimators"": 1069, ""reg_alpha"": 3.75825, ""reg_lambda"": 0.186001, ""subsample"": 0.954949}",23,{},{},0679d381c1cf20f6,292576,13435.081087150693,0.38335620724370656,0.46328761159719634,0.5994261988446525,0.3180117093556774,0.23639422561142684,0.5083333333333333,0.31733105493088565,0.0015995804379179232
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set3__s1776,xgb_search_cells_features_params__label_2y_beat_spy__fs0__set3,completed,label_2y_beat_spy,,2,0,3,"{""class_weight"": 0.1, ""colsample_bytree"": 0.765949, ""gamma"": 0.000139965, ""learning_rate"": 0.0114436, ""max_depth"": 8, ""min_child_weight"": 7.50202, ""n_estimators"": 1069, ""reg_alpha"": 3.75825, ""reg_lambda"": 0.186001, ""subsample"": 0.954949}",1776,{},{},40ad29f2d36aa236,292576,13435.081087150693,0.38335620724370656,0.46332306045095323,0.5992394889852075,0.31783392321292053,0.23639422561142684,0.5083333333333333,0.31812000191873974,0.0015995804379179232
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set4__s23,xgb_search_cells_features_params__label_2y_beat_spy__fs0__set4,completed,label_2y_beat_spy,,2,0,4,"{""class_weight"": 0.1, ""colsample_bytree"": 0.607408, ""gamma"": 0.342094, ""learning_rate"": 0.0165055, ""max_depth"": 5, ""min_child_weight"": 7.1194, ""n_estimators"": 517, ""reg_alpha"": 5.39125, ""reg_lambda"": 0.0251088, ""subsample"": 0.631728}",23,{},{},ee0d794fd4ee5946,292576,13435.081087150693,0.38335620724370656,0.4594832111505041,0.5912368901013937,0.31876346530231836,0.23639422561142684,0.5027777777777778,0.2652521661586232,0.0015820986844980551
xgb_search_cells_features_params__label_1y_beat_spy__fs0__set0__s23,xgb_search_cells_features_params__label_1y_beat_spy__fs0__set0,completed,label_1y_beat_spy,,1,0,0,"{""class_weight"": 0.5, ""colsample_bytree"": 0.407286, ""gamma"": 0.000106243, ""learning_rate"": 0.0118662, ""max_depth"": 8, ""min_child_weight"": 89.3656, ""n_estimators"": 556, ""reg_alpha"": 0.436331, ""reg_lambda"": 21.3796, ""subsample"": 0.6872}",23,{},{},fd0d4ee5eeacdc9a,329925,28579.475396015943,0.4214394438772594,0.4782484477492338,0.5633239495393583,0.2591667123563547,0.24382823902168574,0.5025,0.5892443400621414,0.0014323482672861632
xgb_search_cells_features_params__label_2y_beat_spy__fs1__set2__s23,xgb_search_cells_features_params__label_2y_beat_spy__fs1__set2,completed,label_2y_beat_spy,,2,1,2,"{""class_weight"": 0.1, ""colsample_bytree"": 0.638389, ""gamma"": 0.00994761, ""learning_rate"": 0.0113265, ""max_depth"": 6, ""min_child_weight"": 59.9175, ""n_estimators"": 195, ""reg_alpha"": 0.000140183, ""reg_lambda"": 0.418799, ""subsample"": 0.887142}",23,{},{},57864606cd8bcdcf,292576,13435.081087150693,0.38335620724370656,0.4622482316433719,0.5921001299223596,0.30872486925905435,0.23639422561142684,0.49166666666666664,0.24107442816926372,0.001547135177658319
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set1__s23,xgb_search_cells_features_params__label_2y_beat_spy__fs0__set1,completed,label_2y_beat_spy,,2,0,1,"{""class_weight"": 0.5, ""colsample_bytree"": 0.825382, ""gamma"": 4.79144, ""learning_rate"": 0.126577, ""max_depth"": 6, ""min_child_weight"": 5.09555, ""n_estimators"": 274, ""reg_alpha"": 4.30687, ""reg_lambda"": 0.235585, ""subsample"": 0.920096}",23,{},{},d814cfdcd545c0c5,292576,13435.081087150693,0.38335620724370656,0.46053168850005394,0.593540563174701,0.23880830917241785,0.23639422561142684,0.49166666666666664,0.6153936050004429,0.001547135177658319
xgb_search_cells_features_params__label_1y_beat_spy__fs0__set0__s32,xgb_search_cells_features_params__label_1y_beat_spy__fs0__set0,completed,label_1y_beat_spy,,1,0,0,"{""class_weight"": 0.5, ""colsample_bytree"": 0.407286, ""gamma"": 0.000106243, ""learning_rate"": 0.0118662, ""max_depth"": 8, ""min_child_weight"": 89.3656, ""n_estimators"": 556, ""reg_alpha"": 0.436331, ""reg_lambda"": 21.3796, ""subsample"": 0.6872}",32,{},{},9025bf8674f8b56f,329925,28579.475396015943,0.4214394438772594,0.47861952949053205,0.5633940576961951,0.25898656487417887,0.24382823902168574,0.49,0.5887318839877844,0.001396717713373572
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set1__s32,xgb_search_cells_features_params__label_2y_beat_spy__fs0__set1,completed,label_2y_beat_spy,,2,0,1,"{""class_weight"": 0.5, ""colsample_bytree"": 0.825382, ""gamma"": 4.79144, ""learning_rate"": 0.126577, ""max_depth"": 6, ""min_child_weight"": 5.09555, ""n_estimators"": 274, ""reg_alpha"": 4.30687, ""reg_lambda"": 0.235585, ""subsample"": 0.920096}",32,{},{},78b8b01c97bde061,292576,13435.081087150693,0.38335620724370656,0.46010947190357926,0.5930348947108096,0.23886014855342774,0.23639422561142684,0.4888888888888889,0.6135533233483632,0.0015383943009483851
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set4__s32,xgb_search_cells_features_params__label_2y_beat_spy__fs0__set4,completed,label_2y_beat_spy,,2,0,4,"{""class_weight"": 0.1, ""colsample_bytree"": 0.607408, ""gamma"": 0.342094, ""learning_rate"": 0.0165055, ""max_depth"": 5, ""min_child_weight"": 7.1194, ""n_estimators"": 517, ""reg_alpha"": 5.39125, ""reg_lambda"": 0.0251088, ""subsample"": 0.631728}",32,{},{},3435cc85a4ffe0c8,292576,13435.081087150693,0.38335620724370656,0.4597048648733089,0.5915425703790645,0.3188133761612077,0.23639422561142684,0.4861111111111111,0.26697944555845526,0.0015296534242384512
xgb_search_cells_features_params__label_1y_beat_spy__fs1__set2__s1776,xgb_search_cells_features_params__label_1y_beat_spy__fs1__set2,completed,label_1y_beat_spy,,1,1,2,"{""class_weight"": 0.1, ""colsample_bytree"": 0.638389, ""gamma"": 0.00994761, ""learning_rate"": 0.0113265, ""max_depth"": 6, ""min_child_weight"": 59.9175, ""n_estimators"": 195, ""reg_alpha"": 0.000140183, ""reg_lambda"": 0.418799, ""subsample"": 0.887142}",1776,{},{},44d83a0a072e7883,329925,28579.475396015943,0.4214394438772594,0.4819294076091822,0.5660033595409342,0.342926317937883,0.24382823902168574,0.4825,0.23734003979712726,0.0013753393810260173
xgb_search_cells_features_params__label_1y_beat_spy__fs1__set2__s32,xgb_search_cells_features_params__label_1y_beat_spy__fs1__set2,completed,label_1y_beat_spy,,1,1,2,"{""class_weight"": 0.1, ""colsample_bytree"": 0.638389, ""gamma"": 0.00994761, ""learning_rate"": 0.0113265, ""max_depth"": 6, ""min_child_weight"": 59.9175, ""n_estimators"": 195, ""reg_alpha"": 0.000140183, ""reg_lambda"": 0.418799, ""subsample"": 0.887142}",32,{},{},20d07ac1046499a3,329925,28579.475396015943,0.4214394438772594,0.4825062684965826,0.566917248012362,0.3430666635011999,0.24382823902168574,0.4825,0.23723899070173501,0.0013753393810260173
xgb_search_cells_features_params__label_2y_beat_spy__fs1__set2__s32,xgb_search_cells_features_params__label_2y_beat_spy__fs1__set2,completed,label_2y_beat_spy,,2,1,2,"{""class_weight"": 0.1, ""colsample_bytree"": 0.638389, ""gamma"": 0.00994761, ""learning_rate"": 0.0113265, ""max_depth"": 6, ""min_child_weight"": 59.9175, ""n_estimators"": 195, ""reg_alpha"": 0.000140183, ""reg_lambda"": 0.418799, ""subsample"": 0.887142}",32,{},{},baadd2634ad018b6,292576,13435.081087150693,0.38335620724370656,0.4621964703505706,0.592053896715458,0.3088615699743372,0.23639422561142684,0.48055555555555557,0.24199952876402273,0.001512171670818583
xgb_search_cells_features_params__label_1y_beat_spy__fs0__set0__s1776,xgb_search_cells_features_params__label_1y_beat_spy__fs0__set0,completed,label_1y_beat_spy,,1,0,0,"{""class_weight"": 0.5, ""colsample_bytree"": 0.407286, ""gamma"": 0.000106243, ""learning_rate"": 0.0118662, ""max_depth"": 8, ""min_child_weight"": 89.3656, ""n_estimators"": 556, ""reg_alpha"": 0.436331, ""reg_lambda"": 21.3796, ""subsample"": 0.6872}",1776,{},{},5b3a4a2ac0697bb3,329925,28579.475396015943,0.4214394438772594,0.4787866805612766,0.5638402112124784,0.2589455529559733,0.24382823902168574,0.4775,0.5885998956114054,0.001361087159460981
xgb_search_cells_features_params__label_3y_beat_spy__fs1__set2__s1776,xgb_search_cells_features_params__label_3y_beat_spy__fs1__set2,completed,label_3y_beat_spy,,3,1,2,"{""class_weight"": 0.1, ""colsample_bytree"": 0.638389, ""gamma"": 0.00994761, ""learning_rate"": 0.0113265, ""max_depth"": 6, ""min_child_weight"": 59.9175, ""n_estimators"": 195, ""reg_alpha"": 0.000140183, ""reg_lambda"": 0.418799, ""subsample"": 0.887142}",1776,{},{},1cec77429076473c,256351,8215.438550146824,0.3535010191664152,0.45610802988336485,0.6180849118447507,0.2797172425561556,0.22853804861472096,0.475,0.25327200051397086,0.0016333548248441865
xgb_search_cells_features_params__label_1y_beat_spy__fs1__set2__s23,xgb_search_cells_features_params__label_1y_beat_spy__fs1__set2,completed,label_1y_beat_spy,,1,1,2,"{""class_weight"": 0.1, ""colsample_bytree"": 0.638389, ""gamma"": 0.00994761, ""learning_rate"": 0.0113265, ""max_depth"": 6, ""min_child_weight"": 59.9175, ""n_estimators"": 195, ""reg_alpha"": 0.000140183, ""reg_lambda"": 0.418799, ""subsample"": 0.887142}",23,{},{},1c79a65bc26a9a0d,329925,28579.475396015943,0.4214394438772594,0.48176075756662107,0.5659610208164301,0.34298527418278324,0.24382823902168574,0.475,0.23696605049073696,0.0013539610486784628
xgb_search_cells_features_params__label_1y_beat_spy__fs1__set1__s32,xgb_search_cells_features_params__label_1y_beat_spy__fs1__set1,completed,label_1y_beat_spy,,1,1,1,"{""class_weight"": 0.5, ""colsample_bytree"": 0.825382, ""gamma"": 4.79144, ""learning_rate"": 0.126577, ""max_depth"": 6, ""min_child_weight"": 5.09555, ""n_estimators"": 274, ""reg_alpha"": 4.30687, ""reg_lambda"": 0.235585, ""subsample"": 0.920096}",32,{},{},70b480c3acc3d825,329925,28579.475396015943,0.4214394438772594,0.4808346579479793,0.5670707712328433,0.2534206713399595,0.24382823902168574,0.4725,0.6511133185774088,0.0013468349378959446
xgb_search_cells_features_params__label_1y_beat_spy__fs0__set1__s32,xgb_search_cells_features_params__label_1y_beat_spy__fs0__set1,completed,label_1y_beat_spy,,1,0,1,"{""class_weight"": 0.5, ""colsample_bytree"": 0.825382, ""gamma"": 4.79144, ""learning_rate"": 0.126577, ""max_depth"": 6, ""min_child_weight"": 5.09555, ""n_estimators"": 274, ""reg_alpha"": 4.30687, ""reg_lambda"": 0.235585, ""subsample"": 0.920096}",32,{},{},2f4419a29781df5d,329925,28579.475396015943,0.4214394438772594,0.476210146751108,0.5600383538125262,0.2591299946606228,0.24382823902168574,0.4725,0.6046698325127363,0.0013468349378959446
